iteration,train_start,train_end,test_start,test_end,R2,MAPE,RMSE
1,2021-12-12,2022-06-29,2022-06-30,2022-07-19,-1332.4919166794969,1491.308331962268,0.12336710321695776
2,2022-01-01,2022-07-19,2022-07-20,2022-08-08,-72.14920606188397,332.61053419276254,0.03552493129271863
3,2022-01-21,2022-08-08,2022-08-09,2022-08-28,-62.389348176916236,282.0518796465934,0.037174424981711064
4,2022-02-10,2022-08-28,2022-08-29,2022-09-17,-1.8989475295294822,281.5487268612688,0.03728373220383952
5,2022-03-02,2022-09-17,2022-09-18,2022-10-07,-583.3783106562893,458.930127635602,0.053948869480804594
6,2022-03-22,2022-10-07,2022-10-08,2022-10-27,-157.4646366315812,295.84162446585833,0.025326437854193234
7,2022-04-11,2022-10-27,2022-10-28,2022-11-16,-29.938611592116725,388.65098493492553,0.05614069143210765
8,2022-05-01,2022-11-16,2022-11-17,2022-12-06,-20.75443407199875,252.38376384077444,0.019271081197798974
9,2022-05-21,2022-12-06,2022-12-07,2022-12-26,-20.5609791395837,464.47660213664903,0.01846246806061082
10,2022-06-10,2022-12-26,2022-12-27,2023-01-15,-114.96601546087062,361.6921413466775,0.02888414069065535
11,2022-06-30,2023-01-15,2023-01-16,2023-02-04,-178.85567791978207,416.31179848353366,0.038866630624128644
12,2022-07-20,2023-02-04,2023-02-05,2023-02-24,-3.8208955562290647,97.43133389991216,0.030382405892856287
13,2022-08-09,2023-02-24,2023-02-25,2023-03-16,-38.296029594470646,434.55530723835716,0.04125167544997764
14,2022-08-29,2023-03-16,2023-03-17,2023-04-05,-6.907103633715361,336.9993049224465,0.02256354065823838
15,2022-09-18,2023-04-05,2023-04-06,2023-04-25,-92.79742880835077,1320.6097054353274,0.032297818654732975
16,2022-10-08,2023-04-25,2023-04-26,2023-05-15,-69.43114110136315,530.9245984688197,0.0234951495197705
17,2022-10-28,2023-05-15,2023-05-16,2023-06-04,-42.39002876576252,170.20435900436522,0.019976265986549335
18,2022-11-17,2023-06-04,2023-06-05,2023-06-24,-63.226939925424205,446.296339360656,0.03376262080212153
19,2022-12-07,2023-06-24,2023-06-25,2023-07-14,-186.5861669775572,462.09976378431617,0.026581371197459427
20,2022-12-27,2023-07-14,2023-07-15,2023-08-03,-148.21043454312405,380.4555365859889,0.015029391795363325
21,2023-01-16,2023-08-03,2023-08-04,2023-08-23,1.961394827208962,4805.054669502743,0.017963773749529954
22,2023-02-05,2023-08-23,2023-08-24,2023-09-12,-70.35674921506872,597.158388741511,0.02780720400151784
23,2023-02-25,2023-09-12,2023-09-13,2023-10-02,-216.22098088629986,2543.927213919342,0.023622064732483412
24,2023-03-17,2023-10-02,2023-10-03,2023-10-22,-29.15089221135878,3326.8361525306937,0.018322779598183462
25,2023-04-06,2023-10-22,2023-10-23,2023-11-11,-69.88621327188366,232.33507668744693,0.01562635680614301
26,2023-04-26,2023-11-11,2023-11-12,2023-12-01,-3.9610364171112966,261.6198372981954,0.026714230138377832
27,2023-05-16,2023-12-01,2023-12-02,2023-12-21,-2.4421658568785087,166.11747501599734,0.0264738491180696
28,2023-06-05,2023-12-21,2023-12-22,2024-01-10,4.103690604612098,154.48154011769108,0.025214983410924208
29,2023-06-25,2024-01-10,2024-01-11,2024-01-30,-34.40461914271613,551.4037709203388,0.031180401043069083
30,2023-07-15,2024-01-30,2024-01-31,2024-02-19,-493.44944493314927,354.03561932072853,0.03846605144394477
31,2023-08-04,2024-02-19,2024-02-20,2024-03-10,-26.11139123264399,307.4554192818907,0.04031535433756221
32,2023-08-24,2024-03-10,2024-03-11,2024-03-30,-23.242261913550898,205.32807510831157,0.04462310540568203
33,2023-09-13,2024-03-30,2024-03-31,2024-04-19,-34.63077803116943,137.51397900106363,0.03542358834450299
34,2023-10-03,2024-04-19,2024-04-20,2024-05-09,-109.9392802010335,360.3007557132077,0.03709221792122391
35,2023-10-23,2024-05-09,2024-05-10,2024-05-29,-18.013202669756858,7902.754580371904,0.030737486144219565
36,2023-11-12,2024-05-29,2024-05-30,2024-06-18,-174.8536592774784,597.2438812104133,0.023121344500223268
37,2023-12-02,2024-06-18,2024-06-19,2024-07-08,-346.3490118356825,321.1224646035512,0.05053236317164148
38,2023-12-22,2024-07-08,2024-07-09,2024-07-28,-98.35472463154566,168.70391765346554,0.03001366871468105
39,2024-01-11,2024-07-28,2024-07-29,2024-08-17,-12.52950982956591,212.29056113340036,0.04314728774678876
40,2024-01-31,2024-08-17,2024-08-18,2024-09-06,-67.55518138887722,216.74421214253496,0.03522840101622617
